Mature miRNA ID	HELA_average
hsa-miR-10a-5p	17.06125809
hsa-miR-182-5p	16.46698544
hsa-miR-30a-5p	16.28599375
hsa-miR-92b-3p	16.25742938
hsa-miR-21-5p	15.88857124
hsa-miR-100-5p	15.57725178
hsa-miR-99b-5p	15.49696228
hsa-miR-191-5p	14.76743215
hsa-let-7f-5p	14.68896055
hsa-miR-92a-3p	14.57126281
hsa-miR-98-5p	14.35932405
hsa-miR-27b-3p	14.35385669
hsa-let-7a-5p	14.23323519
hsa-miR-151a-3p	14.12993319
hsa-miR-25-3p	13.67243271
hsa-miR-22-3p	13.62710825
hsa-miR-192-5p	13.56253262
hsa-let-7i-5p	13.4339563
hsa-miR-28-3p	13.16389597
hsa-let-7c-5p	12.9098306
hsa-miR-21-3p	12.84701383
hsa-miR-30a-3p	12.81763658
hsa-miR-378a-3p	12.60667253
hsa-miR-423-5p	12.4225408
hsa-miR-186-5p	12.25167307
hsa-miR-181a-5p	12.24440348
hsa-miR-183-5p	12.16498721
hsa-miR-30d-5p	12.15578099
hsa-miR-151a-5p	11.68209237
hsa-let-7g-5p	11.6658491
hsa-miR-148b-3p	11.6094558
hsa-let-7b-5p	11.57977162
hsa-miR-423-3p	11.43182838
hsa-miR-99a-5p	11.3721093
hsa-miR-27a-3p	11.36007891
hsa-miR-125a-5p	11.08730813
hsa-let-7d-5p	10.96751448
hsa-let-7e-5p	10.94130035
hsa-miR-93-5p	10.9291351
hsa-miR-501-3p	10.88657724
hsa-miR-16-5p	10.84350236
hsa-miR-26a-5p	10.80613785
hsa-miR-582-3p	10.74720462
hsa-miR-320a	10.67736729
hsa-miR-500a-3p	10.58475376
hsa-miR-1304-3p	10.57238443
hsa-miR-146b-5p	10.54161292
hsa-miR-103a-3p	10.51162089
hsa-miR-125b-2-3p	10.42518093
hsa-miR-125b-5p	10.24085757
hsa-miR-30e-5p	10.19628791
hsa-miR-486-5p	10.14047477
hsa-miR-7706	10.13525325
hsa-miR-31-5p	10.11342385
hsa-miR-222-3p	10.10445315
hsa-miR-532-5p	10.05788646
hsa-miR-196a-5p	10.04162873
hsa-miR-23a-3p	9.972804323
hsa-miR-181b-5p	9.834295465
hsa-miR-1307-5p	9.826018766
hsa-miR-26b-5p	9.788790824
hsa-miR-215-5p	9.75330962
hsa-miR-30e-3p	9.634427894
hsa-miR-421	9.627229871
hsa-miR-484	9.544148757
hsa-miR-101-3p	9.502831804
hsa-miR-301a-3p	9.486276379
hsa-miR-107	9.449332095
hsa-miR-941	9.445865539
hsa-miR-140-3p	9.444094613
hsa-miR-20a-5p	9.411864027
hsa-miR-30c-5p	9.325030558
hsa-miR-24-3p	9.250561611
hsa-miR-106b-3p	9.169229089
hsa-miR-224-5p	9.10968558
hsa-miR-374a-3p	9.109482451
hsa-miR-221-3p	9.086549081
hsa-miR-769-5p	8.981218418
hsa-miR-1910-5p	8.93676879
hsa-miR-181a-2-3p	8.898047076
hsa-miR-340-5p	8.868993988
hsa-miR-181c-5p	8.796832774
hsa-miR-17-5p	8.775628569
hsa-miR-19b-3p	8.44919451
hsa-miR-589-5p	8.440776906
hsa-miR-30c-2-3p	8.38101413
hsa-miR-15b-5p	8.376487194
hsa-miR-744-5p	8.201797201
hsa-miR-361-5p	8.194428559
hsa-miR-425-5p	8.144884797
hsa-miR-181d-5p	8.007432243
hsa-miR-193b-3p	7.962896005
hsa-miR-3615	7.850360499
hsa-miR-196b-5p	7.838923762
hsa-miR-320b	7.83541884
hsa-miR-1307-3p	7.827254479
hsa-miR-19a-3p	7.822163608
hsa-miR-615-3p	7.793838095
hsa-miR-335-3p	7.769066437
hsa-miR-29a-3p	7.749608754
hsa-miR-767-5p	7.733354341
hsa-miR-221-5p	7.724589643
hsa-miR-23b-3p	7.596521086
hsa-miR-873-3p	7.517800596
hsa-miR-126-5p	7.468148836
hsa-miR-203a-3p	7.436480211
hsa-miR-454-3p	7.379185802
hsa-miR-330-5p	7.36768169
hsa-miR-671-3p	7.364086005
hsa-miR-130b-3p	7.341531178
hsa-miR-452-5p	7.333205055
hsa-miR-877-5p	7.299106237
hsa-miR-629-5p	7.249929866
hsa-miR-660-5p	7.215506036
hsa-miR-338-3p	7.18608672
hsa-miR-1247-5p	7.098967835
hsa-miR-10b-5p	7.089229767
hsa-miR-30b-5p	7.075865362
hsa-miR-197-3p	7.075271146
hsa-let-7d-3p	7.071343176
hsa-miR-148b-5p	7.011848437
hsa-miR-1269b	6.9597444
hsa-miR-1180-3p	6.907024172
hsa-miR-548k	6.889419459
hsa-miR-28-5p	6.811927652
hsa-miR-106b-5p	6.62481576
hsa-miR-125b-1-3p	6.572889668
hsa-miR-342-3p	6.554077167
hsa-miR-652-3p	6.549806055
hsa-miR-210-3p	6.537951751
hsa-miR-574-5p	6.534324501
hsa-miR-4746-5p	6.502323529
hsa-miR-96-5p	6.417477497
hsa-miR-15a-5p	6.380052141
hsa-miR-151b	6.328724786
hsa-miR-4485-3p	6.325530332
hsa-miR-378c	6.318919345
hsa-miR-584-5p	6.286840087
hsa-miR-100-3p	6.251929444
hsa-miR-330-3p	6.220673904
hsa-miR-873-5p	6.18718709
hsa-miR-345-5p	6.153354986
hsa-miR-4677-3p	6.147939797
hsa-miR-374a-5p	6.143865024
hsa-miR-4745-5p	6.128366729
hsa-miR-149-5p	6.098733954
hsa-miR-374b-5p	6.080610293
hsa-miR-450b-5p	6.033667713
hsa-miR-1276	6.016189238
hsa-miR-24-2-5p	5.936507076
hsa-miR-324-3p	5.869816583
hsa-miR-937-3p	5.86844533
hsa-miR-365b-3p	5.858257347
hsa-miR-365a-3p	5.85770459
hsa-miR-320d	5.857151622
hsa-miR-194-5p	5.856321771
hsa-miR-128-3p	5.828665428
hsa-miR-1301-3p	5.815916936
hsa-miR-141-3p	5.797877644
hsa-miR-361-3p	5.791524693
hsa-miR-17-3p	5.748341958
hsa-miR-99b-3p	5.702903758
hsa-miR-2467-5p	5.67305383
hsa-miR-181c-3p	5.642573224
hsa-miR-132-3p	5.592955291
hsa-miR-190a-5p	5.56512324
hsa-miR-2116-3p	5.562412043
hsa-miR-34a-5p	5.533286466
hsa-miR-18a-5p	5.475373163
hsa-miR-339-5p	5.450661409
hsa-miR-4435	5.425518983
hsa-miR-7-5p	5.348137974
hsa-miR-98-3p	5.331912183
hsa-miR-5094	5.330319365
hsa-miR-582-5p	5.325530332
hsa-miR-30d-3p	5.30580843
hsa-miR-33b-5p	5.276331228
hsa-miR-27b-5p	5.269282553
hsa-miR-15b-3p	5.25508104
hsa-miR-320c	5.252560314
hsa-miR-16-2-3p	5.218092284
hsa-miR-542-3p	5.202504791
hsa-miR-4454	5.098266078
hsa-miR-23a-5p	5.095455632
hsa-miR-301b-3p	5.036112545
hsa-miR-139-5p	4.933887328
hsa-miR-3176	4.90902634
hsa-miR-4326	4.900464326
hsa-miR-92b-5p	4.834576391
hsa-miR-1286	4.824994087
hsa-let-7b-3p	4.745356864
hsa-miR-212-5p	4.743562839
hsa-miR-181a-3p	4.667387554
hsa-miR-4664-3p	4.664862048
hsa-miR-454-5p	4.648976674
hsa-miR-502-3p	4.626439137
hsa-miR-3158-3p	4.622539959
hsa-miR-130b-5p	4.613400683
hsa-miR-339-3p	4.556633778
hsa-miR-4661-5p	4.553906565
hsa-miR-193a-5p	4.54500735
hsa-miR-128-1-5p	4.523561956
hsa-miR-362-5p	4.522864834
hsa-miR-4482-3p	4.459431619
hsa-miR-424-5p	4.429987841
hsa-miR-185-5p	4.394605599
hsa-miR-338-5p	4.343407822
hsa-miR-424-3p	4.331514144
hsa-miR-641	4.291963663
hsa-miR-1254	4.268866851
hsa-miR-874-3p	4.267202843
hsa-miR-574-3p	4.239465935
hsa-miR-219a-1-3p	4.227535725
hsa-miR-183-3p	4.22667978
hsa-miR-3690	4.220673904
hsa-miR-7974	4.215506036
hsa-miR-628-3p	4.177031888
hsa-miR-148a-3p	4.15560533
hsa-miR-3074-5p	4.137503524
hsa-miR-27a-5p	4.123776541
hsa-miR-625-3p	4.10433666
hsa-miR-18a-3p	4.08084713
hsa-miR-4792	4.077053058
hsa-let-7a-3p	4.066567617
hsa-miR-143-3p	4.027783157
hsa-miR-1247-3p	4.019899557
hsa-miR-335-5p	4.010978708
hsa-miR-3691-5p	4.009984089
hsa-miR-651-5p	3.961417538
hsa-miR-3200-3p	3.949016071
hsa-miR-7704	3.934411658
hsa-miR-425-3p	3.919657892
hsa-miR-548f-3p	3.915414668
hsa-miR-378i	3.900464326
hsa-miR-7977	3.861293729
hsa-miR-126-3p	3.859086085
hsa-miR-196a-3p	3.856875058
hsa-miR-1908-3p	3.844653463
hsa-miR-3174	3.840183452
hsa-miR-99a-3p	3.821029859
hsa-miR-200c-3p	3.818759685
hsa-miR-942-5p	3.815347713
hsa-miR-29c-3p	3.779609932
hsa-miR-1303	3.776103988
hsa-miR-93-3p	3.763175473
hsa-miR-1260b	3.758445322
hsa-miR-320e	3.717600269
hsa-miR-1246	3.706591945
hsa-let-7f-2-3p	3.704134202
hsa-miR-5000-3p	3.700439718
hsa-miR-3605-3p	3.700439718
hsa-miR-95-3p	3.697971463
hsa-miR-1285-3p	3.678071905
hsa-miR-193b-5p	3.66801824
hsa-miR-449b-5p	3.665493839
hsa-miR-1468-5p	3.659163443
hsa-miR-105-5p	3.650253961
hsa-miR-3661	3.637429921
hsa-miR-1260a	3.634851377
hsa-miR-324-5p	3.628384781
hsa-miR-331-3p	3.627087976
hsa-miR-760	3.527737632
hsa-miR-30c-1-3p	3.509555098
