miRNA	N_COLON_1	N_COLON_3	N_COLON_4	N_COLON_5	N_PAN_1	N_KID_1	N_KID_2	N_KID_3	N_BLDR_1	N_PROST_1	N_PROST_2	N_PROST_4	N_PROST_6	N_PROST_7	N_PROST_8	N_UT_8	N_LUNG_1	N_LUNG_3	N_BRST_1	N_BRST_2	N_BRST_3	T_COLON_2	T_COLON_3	T_COLON_4	T_COLON_5	T_COLON_7	T_COLON_9	T_COLON_10	T_PAN_1	T_PAN_2	T_PAN_4	T_PAN_5	T_PAN_6	T_PAN_7	T_PAN_8	T_PAN_9	T_KID_1	T_KID_3	T_KID_4	T_KID_5	T_BLDR_1	T_BLDR_3	T_BLDR_4	T_BLDR_5	T_BLDR_6	T_BLDR_7	T_PROST_1	T_PROST_2	T_PROST_3	T_PROST_4	T_PROST_5	T_PROST_6	T_OVARY_1	T_OVARY_3	T_OVARY_4	T_OVARY_5	T_OVARY_6	T_UT_1	T_UT_2	T_UT_3	T_UT_4	T_UT_5	T_UT_6	T_UT_7	T_UT_8	T_UT_9	T_UT_10	T_LUNG_1	T_LUNG_2	T_LUNG_3	T_LUNG_4	T_LUNG_6	T_MESO_1	T_MESO_2	T_MESO_3	T_MESO_4	T_MESO_5	T_MESO_6	T_MESO_7	T_MESO_8	T_MELA_1	T_MELA_2	T_MELA_3	T_BRST_1	T_BRST_2	T_BRST_3	T_BRST_4	T_BRST_5	T_BRST_6
hsa-miR-124-3p|MIMAT0000422	7.56507	6.85518	7.5718	7.54103	7.11842	9.40244	9.22103	10.264	6.3203	7.23376	7.45917	6.11943	5.87749	6.23413	8.34688	5	6.59561	6.28551	6.32971	6.63761	6.2813	5.01773	7.22099	6.24569	6.23071	5.82326	5.86085	5.79601	6.44399	6.12505	6.9254	6.53381	5	5.20008	6.34336	5.84717	5	5	5	5	7.16514	5.34993	5.00202	5	5	5.2668	6.51444	6.43119	6.00032	5.61985	5.18563	5.43482	5.72235	5	6.20473	6.59288	5.7739	6.60293	7.73726	6.61876	5.70287	5	5	5.26702	5.7004	6.61414	6.89386	5.72901	5.34721	5	5.52645	5.58592	5	5	5	5	5	5	5	5	5	5	5	5.91441	7.53335	6.16489	5.48869	5.60531	6.05718
hsa-miR-125b-5p|MIMAT0000423	11.5419	11.3294	11.5706	11.5891	10.7908	11.7135	11.421	11.602	11.5907	12.1271	12.0817	12.1909	12.0797	12.0777	12.1002	12.1486	11.1848	11.7105	12.1543	11.9952	12.0203	10.3929	11.4748	7.23251	9.96664	10.8536	9.90041	9.8517	12.0909	11.0026	11.9496	12.0559	11.1548	11.66	11.8788	11.9483	6.67633	10.0911	8.83116	9.45753	8.94403	10.9977	9.40719	11.3367	5	10.6693	11.706	11.7742	12.2239	11.7999	12.1703	11.139	9.12289	9.98687	12.0178	12.0404	8.7158	12.0748	11.8297	11.5451	7.81051	11.8507	12.16	11.38	10.5357	11.2266	11.9008	9.40135	11.1932	10.1869	10.1016	11.0118	10.9647	10.346	10.4744	11.6082	9.06916	9.67703	11.6118	9.24377	10.9393	9.97173	9.63103	10.9971	8.51792	9.68912	9.69876	8.85962	10.2615
hsa-miR-7-5p|MIMAT0000252	6.3749	5.6457	6.6991	6.5118	9.1174	5.8529	5	5	8.5442	5.7999	6.8268	5.2787	5.0526	5.3272	5.5679	5	5.1258	5.5823	5	5.1806	5	6.4165	6.3779	5.8737	6.3536	5.7746	8.6273	6.4505	9.9793	6.7822	9.3454	8.805	5.0715	8.7987	8.5802	8.4333	5	5	5	5.7262	7.5643	6.6134	5	5	5	5	5	5	5	5	5	5	5	5	5.7479	7.5082	5	5	7.3149	7.4468	5	5	5	5	5	5	6.0796	5	5.5418	5	5	5.4507	5	5	5	5	5	5	5	5	5	5	5	5.3294	5.0831	5	6.4002	5	5.1007
hsa-let-7g-5p|MIMAT0000414	10.6503	9.87166	10.7517	10.5554	10.6003	11.103	10.373	10.3144	10.3483	11.1385	11.1436	10.9787	11.3571	10.8194	10.9363	11.3057	10.0056	11.2944	11.0609	11.2635	11.2069	9.27084	9.92473	8.92171	9.84289	9.75595	9.1431	9.36004	9.44662	9.68018	11.2613	10.9959	8.53573	9.80127	10.7673	9.47225	9.29802	9.07764	8.47871	8.99856	10.0106	9.318	8.61296	9.19544	5.80304	8.99587	8.91007	9.09653	7.67378	8.38828	9.37351	9.47202	8.07962	8.66495	9.00914	9.95101	9.08312	9.3596	11.1483	11.1544	8.36797	10.1416	10.4435	7.88736	9.17379	11.1553	10.9419	9.16573	9.80872	8.43992	9.79189	8.75753	8.78014	8.01202	8.5997	9.36239	7.85165	6.35179	8.19987	5.75256	8.33995	8.1546	8.5335	9.28364	9.11353	8.82	8.56669	8.72912	10.0011
hsa-miR-16-5p|MIMAT0000069	11.6388	11.6452	11.7482	11.8599	11.4602	11.768	11.5176	11.5553	11.1659	11.7545	11.6338	11.8918	11.8766	11.6036	11.8592	11.6543	11.9934	11.8829	11.7393	11.7166	11.76	10.6092	10.6214	9.98101	11.6116	11.3053	11.1278	11.0926	10.9057	11.4432	11.754	11.877	9.61211	10.5389	10.9901	10.7983	8.42233	10.6034	9.10467	9.69582	11.6398	10.7828	10.9276	10.0101	8.72233	10.6781	10.6037	10.2181	9.52067	10.4374	10.7987	11.2024	9.23887	10.2382	11.2806	9.89208	10.8595	9.40176	11.1169	11.3841	9.51409	11.4007	11.289	9.14706	10.4543	11.8488	11.6808	10.5014	11.3054	10.6636	11.0079	9.64314	10.4964	9.39053	10.842	11.4648	10.047	7.72263	10.5561	7.7739	10.5404	10.5638	10.9117	11.2688	11.5161	10.7912	10.1745	9.47404	11.5166
hsa-miR-29b-3p|MIMAT0000100	11.6692	11.8113	11.8308	11.8535	11.6828	11.8464	11.796	11.8623	11.6968	11.94	11.8803	11.9945	11.8942	11.7692	11.9653	11.9664	12.0135	11.8467	11.9037	11.774	11.82	11.3543	11.4312	11.1374	11.4778	11.6717	11.5689	11.4872	11.9383	11.5898	11.8965	11.8485	11.1517	11.613	11.7204	11.8962	10.2255	9.99316	8.49001	11.7668	11.8064	11.2894	10.8142	11.2804	9.23049	11.2754	10.2982	10.1831	9.40711	10.2362	11.778	11.6663	9.9645	10.7672	11.5333	11.6166	11.7908	11.5968	11.8882	10.9313	9.39495	11.6861	11.8475	9.02984	9.98975	11.6271	11.0359	10.0613	10.9214	9.41724	10.7984	10.4052	10.2996	10.2108	10.1548	10.4088	11.3076	6.69675	11.0334	6.56944	10.6125	10.6424	9.94665	11.5871	11.7565	11.4686	11.998	11.5188	11.2586
hsa-miR-99a-5p|MIMAT0000097	8.56069	7.55021	8.59907	8.18122	8.19866	10.5295	9.3245	9.82044	8.03557	11.6764	11.5589	11.8067	11.8024	11.2133	11.3419	11.5395	8.40099	9.65129	11.4566	11.5188	11.3932	6.49227	8.05183	5	6.32382	6.56182	6.44125	5.94802	9.24984	7.09049	10.0953	10.1135	6.80981	8.50439	9.19258	9.18792	5.56193	8.00222	6.27435	7.04437	6.99665	7.67283	5.95796	8.25796	5	7.33927	9.8612	10.2325	9.79559	9.7997	11.0214	7.43123	6.47767	6.72586	8.29945	10.3088	7.04954	10.3516	10.2473	8.90393	6.64764	10.7907	11.3186	8.37421	7.79691	8.65379	9.45628	6.96124	7.75397	7.98885	6.17595	6.16581	6.96993	5.71434	6.66222	8.8672	5	6.72263	7.63009	5	5.51533	5.77583	7.38444	8.00376	7.00851	7.5183	7.21185	5.11291	7.11238
hsa-miR-92a-3p|MIMAT0000092	9.3993	8.63555	9.81771	9.34286	10.0962	10.166	9.1713	8.90837	9.56482	9.87056	9.82718	9.07575	9.83357	8.83569	9.65573	9.64954	9.00863	10.3345	10.3732	10.6806	10.1724	8.97388	9.35896	8.66523	10.1666	10.0678	9.73584	8.36755	8.42988	8.61367	10.2616	9.65396	7.71014	8.12744	9.24289	8.32372	7.82234	7.7673	7.36304	7.46877	10.4549	8.92351	8.73871	6.87564	5.75998	8.19165	8.73401	8.23324	7.47593	8.54514	8.57504	8.51254	7.22621	8.41392	10.4731	10.9981	8.05736	8.56851	9.96504	10.582	7.87955	7.86193	9.31408	8.85709	8.76581	8.97658	10.4637	7.75319	9.27194	8.24159	8.40413	8.80967	8.16582	7.3073	7.8195	8.64809	7.39622	6.65704	7.86705	7.79492	8.14157	7.63984	9.76559	8.71027	8.18431	8.35577	7.34746	8.36726	8.56016
hsa-miR-146a-5p|MIMAT0000449	10.6244	9.6536	10.9306	10.4826	8.91572	10.4198	9.37846	9.06805	10.5543	9.02983	10.4795	9.21162	10.3369	9.19039	9.86244	9.21418	10.9982	10.8203	10.5903	10.7053	10.1595	10.97	11.304	11.1867	11.243	9.67986	9.98035	10.6759	11.5479	9.66448	11.3433	10.9969	9.25018	10.9167	11.0451	10.296	10.1724	9.78654	9.15025	7.36228	11.4869	10.1246	9.28992	9.23051	7.67442	9.59483	8.84838	8.74781	8.13111	9.21967	9.25566	11.5081	9.57993	9.42429	9.81649	9.63571	9.95643	9.27941	11.1665	9.2057	9.30467	8.8965	9.76039	9.42754	9.79585	11.3296	10.045	10.4849	11.2274	10.1963	10.9257	9.22552	9.58977	8.82797	9.01675	9.59652	10.5222	7.72263	8.72692	7.24886	9.15594	12.2488	12.1123	11.6233	7.89524	10.8598	10.2621	8.7733	10.4462
hsa-let-7c-5p|MIMAT0000064	11.9289	11.6147	11.9466	11.8709	11.9249	11.8484	11.9734	11.8533	11.9727	12.1987	12.2364	12.3183	12.2944	12.103	12.2758	12.3941	12.3313	12.1725	12.2882	12.204	12.2256	11.5332	11.9636	11.8298	11.7352	11.8492	11.1968	11.251	12.0193	11.6887	12.1259	12.1499	11.6941	12.0076	12.0493	12.2452	11.7674	12.0426	11.8097	11.2109	11.9017	11.2692	11.6096	12.0231	9.52936	11.5479	11.7259	11.9815	12.4263	11.8147	12.0544	11.9452	11.0195	11.3016	11.5453	12.042	12.0423	12.214	12.5904	12.0243	11.2176	12.0866	12.3464	11.0025	11.8668	12.1289	11.9278	11.4848	11.648	11.5788	11.4256	11.6176	11.389	11.0075	11.3872	11.7426	11.1097	10.863	10.8956	9.70768	10.859	11.0403	10.9944	11.8065	11.8028	11.8224	11.1039	11.9222	12.1018
