miRNA	T47D	COLO205	HCC_2998	HCT_15	KM12	NCI_H322M	OVCAR_3	OVCAR_4	HCT_116	HT29	MCF7	BT_549	HS578T	MDA_MB_231	SF_268	SF_295	SF_539	SNB_19	SNB_75	U251	SW_620	HOP_62	HOP_92	NCI_H23	NCI_H522	CCRF_CEM	HL_60	MOLT_4	SR	LOXIMVI	M14	MDA_MB_435	SK_MEL_28	UACC_62	IGROV1	NCI_ADR_RES	OVCAR_5	OVCAR_8	PC_3	786_0	A498	ACHN	RXF_393	SN12C	TK_10	CAKI_1	K_562	SK_MEL_2
hsa-let-7a-2-3p|MIMAT0010195	6.586828877	6.318112494	6.328979563	6.354933987	6.576358306	6.455566403	6.358433731	6.419735606	6.467150065	6.366825599	6.289976809	6.328935215	6.307900807	6.41037105	6.517985076	6.358978748	6.404718351	6.365785386	6.340446645	6.299033884	6.326912937	6.400006503	6.325925458	6.267275028	6.465685565	6.704985086	6.428095558	6.643458595	6.333092116	6.450535348	6.281216981	6.554240706	6.574258916	6.52061851	6.398006998	6.575713001	6.457604174	6.485590828	6.44083548	6.405702084	6.439388354	6.458635198	6.356860749	6.352842206	6.537574564	6.41499021	6.340914649	6.519254257
hsa-let-7a-5p|MIMAT0000062	10.73706982	10.66444827	10.81856013	11.61229188	10.74585927	11.04103224	11.00787255	11.14107653	11.40245331	11.423518	11.37401986	11.54455246	11.54098358	11.96800475	11.23969124	11.68713038	11.48051138	12.27673058	12.21452872	12.10206896	11.16918389	12.11249251	11.26335588	10.35857716	11.24902705	8.847005182	10.27953134	10.40166429	8.091809391	10.44943999	11.37445626	10.62327843	10.76544506	11.00057445	10.55973898	10.59982928	11.43616582	10.87363831	12.42721511	11.91618329	9.404097207	10.30193366	10.7387752	11.42603776	9.673772877	10.48193585	8.165167303	10.56214412
hsa-let-7b-5p|MIMAT0000063	8.435184471	9.982226067	10.29680762	10.97061332	10.10097496	9.768696313	9.42777218	10.50207103	9.900239451	10.2397085	10.04879616	10.55840521	11.04338185	9.703254515	10.94442537	11.17446477	10.15204299	11.88982068	11.69940597	11.31493967	10.50435065	11.61615119	9.787362175	8.87536845	10.59454759	8.074481742	9.35607244	9.226951655	8.230758169	8.416609542	10.63723019	9.544566895	9.754346056	9.883313882	9.31100761	9.523086675	10.59654649	10.30238073	10.89583056	11.09304666	9.45074388	9.735670359	10.19224187	10.76375462	9.174979507	9.880745346	8.885369826	8.92414207
hsa-let-7c-5p|MIMAT0000064	9.73701167	10.40511462	10.38019541	11.21059423	10.25838079	10.14828037	11.16421483	10.85323422	10.34405665	10.39672734	10.45533574	10.94803418	11.25810106	10.8145408	11.14083384	11.34905802	10.53583343	12.09129644	11.63319961	11.54486764	10.93075578	11.68084689	10.50105284	9.629922645	11.28449629	8.785729683	9.771857325	9.761350559	8.482044491	9.352944422	10.96215575	10.20406488	10.09423462	10.33173293	9.755921714	10.07296162	10.68672452	10.45339089	11.27469534	11.2851746	9.993113344	9.994688275	10.2231387	10.89529871	9.355265144	10.1024543	9.310816335	9.733963943
hsa-let-7d-5p|MIMAT0000065	6.836180849	7.976476432	8.527438902	8.73915743	8.286146982	8.701275487	8.249117796	7.99582414	8.363185089	8.697960836	8.897913851	8.337273837	8.292219368	8.462797416	8.348108001	8.026374375	8.189076995	8.749390541	8.646093236	8.533390739	8.524921267	8.470124689	7.390200884	8.077278823	8.63757993	7.447820858	7.935397387	7.968665732	7.28908607	7.033247175	8.417405768	8.038709223	7.4698808	7.51744953	7.368351042	7.485343526	8.42546186	7.813401136	8.925446429	8.600813676	7.382115346	7.452189236	7.892437551	8.109364997	7.666716165	7.425106741	6.611806572	7.653815775
hsa-let-7e-5p|MIMAT0000066	6.494544738	6.394875988	6.5624266	6.968085825	6.537895768	7.213833992	7.009211629	7.127721428	6.766320731	6.936712904	7.144404869	6.933797501	6.879185966	6.994417113	6.823761402	6.892518764	6.883100534	7.371081528	6.919229476	6.921002692	6.850070779	7.093664641	7.101007524	7.165796342	6.862361671	6.664066761	6.368316712	6.466768277	6.409622292	6.425676781	6.893633131	6.654725429	6.539725546	6.633335049	6.569919863	6.661457684	6.982731429	6.691111728	6.918339953	7.054851676	6.62457103	6.72528608	6.749155133	6.736139814	6.571507782	6.593478531	6.692226474	6.709653862
hsa-let-7f-2-3p|MIMAT0004487	6.371599446	6.483060748	6.416570283	6.504773988	6.471248266	6.465676073	6.467163434	6.394103917	6.490031755	6.487443899	6.47457031	6.494922122	6.463432269	6.478787059	6.514127765	6.419052218	6.374132962	6.462343417	6.381960801	6.448632906	6.478696043	6.347799186	6.498714614	6.446761683	6.522002122	6.558398191	6.391605123	6.38634066	6.462653472	6.372544616	6.473980639	6.425380664	6.325323907	6.395446334	6.363388824	6.387786852	6.408113649	6.445907299	6.457013766	6.379917409	6.446627505	6.374474271	6.362543057	6.444218496	6.442567428	6.375220836	6.456858317	6.479596462
hsa-let-7f-5p|MIMAT0000067	6.791735501	8.640730249	7.837142309	8.092594936	7.839560266	8.26356116	8.443197544	7.503372588	7.532118707	7.990387209	8.219264639	8.018852241	7.506501953	8.294499394	7.053928289	7.587238836	7.409642809	7.955957325	7.506490705	7.701976139	8.728573627	7.616086616	7.245445135	7.187747636	7.403275625	7.294432728	7.129693306	7.402279708	6.68410235	6.774946044	7.951560936	8.492808106	6.884786463	6.856238749	6.853993615	7.809143911	7.658135717	7.3538522	8.289816791	7.533241456	6.959870934	7.311244937	7.04175723	7.242728832	6.737344732	6.69190945	6.467122269	7.178180383
hsa-let-7g-3p|MIMAT0004584	6.514418315	6.33091438	6.514584354	6.576673221	6.55798027	6.631496988	6.448883306	6.534940364	6.512217272	6.560610821	6.581365564	6.530053632	6.523119991	6.542293819	6.50913584	6.470946363	6.596996296	6.535763139	6.469513559	6.512130894	6.474767884	6.481843757	6.509741258	6.5186524	6.541702276	6.533845946	6.42508277	6.491149342	6.520025327	6.449090767	6.466985852	6.567294525	6.481614885	6.517112496	6.412911859	6.48492919	6.518140383	6.491280109	6.539545116	6.513379046	6.50782174	6.525636589	6.482145757	6.513973366	6.559244766	6.502222669	6.465139467	6.521380936
hsa-let-7g-5p|MIMAT0000414	6.425568818	7.131473707	6.846743563	7.212461622	7.081009667	7.138887423	7.12907045	6.900352713	6.959760737	6.799744382	6.986103714	6.821647407	6.712962735	6.832169491	6.555514237	6.616332219	6.673834164	6.714750748	6.637655393	6.632687619	7.395316822	6.628949231	6.516832735	6.492523964	6.824812027	6.669699982	6.775593409	6.953073976	6.466984539	6.443203184	6.686985236	6.928413023	6.554886886	6.52251539	6.588025829	6.787725361	6.955299649	6.895178869	6.89995168	6.722702649	6.531268806	6.695366824	6.551571842	6.75169501	6.517874796	6.396208818	6.382902373	6.56860885
