miRNA id	average
hsa-miR-124-3p	4
hsa-miR-125b-5p	9.7682932
hsa-miR-7-5p	9.4297946
hsa-let-7g-5p	11.423555
hsa-miR-16-5p	12.095799
hsa-miR-29b-3p	10.2439692
hsa-miR-99a-5p	8.8839942
hsa-miR-92a-3p	10.9452408
hsa-miR-324-5p	7.2060898
hsa-miR-132-3p	5.5438428
hsa-miR-146a-5p	4.915959
hsa-let-7c	11.2005316
hsa-let-7b-5p	12.609878
hsa-miR-9-3p	5.671618
hsa-let-7a-5p	12.7863764
hsa-miR-136-5p	4
hsa-miR-130a-3p	9.5805566
hsa-miR-26b-5p	9.4394576
hsa-miR-28-5p	8.2679956
hsa-miR-142-3p	4
hsa-let-7e-5p	9.496639
hsa-miR-137	4
hsa-miR-320a	10.014268
hsa-let-7d-5p	10.5873452
hsa-let-7f-5p	11.3730518
hsa-miR-100-5p	10.2424258
hsa-miR-103a-3p	9.5945182
hsa-miR-106a-5p	11.6677938
hsa-miR-107	9.416584
hsa-miR-10a-5p	7.2091498
hsa-miR-10b-5p	5.6977329
hsa-miR-122-5p	4.17693
hsa-miR-126-5p	5.055971
hsa-miR-125a-5p	9.9382368
hsa-miR-128	7.0973336
hsa-miR-130b-3p	7.8812012
hsa-miR-133a;hsa-miR-133b	4
hsa-miR-134	4
hsa-miR-135a-5p	4.3954344
hsa-miR-140-5p	4.802991
hsa-miR-141-3p	4.908729
hsa-miR-142-5p	4
hsa-miR-143-3p	4
hsa-miR-144-3p	4.4463972
hsa-miR-145-5p	4
hsa-miR-148a-3p	5.0508336
hsa-miR-148b-3p	8.651491
hsa-miR-149-5p	4.7720292
hsa-miR-150-5p	4
hsa-miR-152	4
hsa-miR-153	4
hsa-miR-154-5p	4
hsa-miR-15a-5p	10.1411908
hsa-miR-15b-5p	11.3635946
hsa-miR-17-5p	11.9850998
hsa-miR-18a-5p	10.093005
hsa-miR-181a-5p	7.5453218
hsa-miR-181b-5p	7.3559404
hsa-miR-181c-5p	4.9319042
hsa-miR-182-5p	9.0022498
hsa-miR-183-5p	7.797268
hsa-miR-187-3p	4.2383942
hsa-miR-192-5p	4.9535372
hsa-miR-196a-5p	10.188138
hsa-miR-199a-5p	4.0682368
hsa-miR-199b-5p	4
hsa-miR-19a-3p	9.9607584
hsa-miR-19b-3p	10.642576
hsa-miR-1	4.4497108
hsa-miR-20a-5p	12.1581566
hsa-miR-203a	6.5504446
hsa-miR-204-5p	4
hsa-miR-205-5p	4
hsa-miR-21-5p	12.209268
hsa-miR-210	5.1141908
hsa-miR-211-5p	4.0286488
hsa-miR-212-3p	4.0019956
hsa-miR-181a-3p	4.4755672
hsa-miR-214-3p	4
hsa-miR-215	4.5131162
hsa-miR-216a-5p	4
hsa-miR-217	4
hsa-miR-218-5p	4
hsa-miR-219-5p	5.1672854
hsa-miR-22-3p	9.2978612
hsa-miR-221-3p	9.5127526
hsa-miR-222-3p	10.2262272
hsa-miR-223-3p	4.2606004
hsa-miR-23a-3p	12.4467474
hsa-miR-23b-3p	11.959884
hsa-miR-24-3p	11.7815592
hsa-miR-26a-5p	10.39996
hsa-miR-27b-3p	10.0670788
hsa-miR-29a-3p	10.4865494
hsa-miR-30b-5p	10.5281696
hsa-miR-30c-5p	11.4278844
hsa-miR-30d-5p	9.8251168
hsa-miR-34a-5p	5.8645488
hsa-miR-9-5p	4
hsa-miR-96-5p	6.4752536
hsa-miR-98-5p	9.161295
hsa-miR-29c-3p	8.910231
hsa-miR-30a-3p	7.4355144
hsa-miR-184	4
hsa-miR-186-5p	8.675355
hsa-miR-188-5p	5.3010674
hsa-miR-190a	4.591501
hsa-miR-193a-3p	5.127027
hsa-miR-194-5p	5.1812982
hsa-miR-195-5p	6.5500946
hsa-miR-197-3p	7.2311156
hsa-miR-198	4.115959
hsa-miR-199a-3p;hsa-miR-199b-3p	4
hsa-miR-200a-3p	4
hsa-miR-200b-3p	4.0861864
hsa-miR-206	4
hsa-miR-208a	4
hsa-miR-101-3p	8.4339592
hsa-miR-105-5p	5.3134826
hsa-miR-106b-5p	10.8021152
hsa-miR-126-3p	7.251277
hsa-miR-127-3p	4
hsa-miR-147a	4
hsa-miR-155-5p	4
hsa-miR-17-3p	8.0202924
hsa-miR-182-3p	4
hsa-miR-24-1-5p	5.3529718
hsa-miR-224-5p	8.2687154
hsa-miR-25-3p	10.1320642
hsa-miR-27a-3p	12.1582362
hsa-miR-296-5p	4
hsa-miR-299-5p	4
hsa-miR-301a-3p	6.993196
hsa-miR-302a-3p	4
hsa-miR-30a-5p	10.409779
hsa-miR-30e-5p	7.0013198
hsa-miR-31-5p	10.0637288
hsa-miR-32-5p	7.1237496
hsa-miR-34b-5p	4
hsa-miR-34c-5p	4
hsa-miR-93-5p	10.2784792
hsa-miR-95	4
hsa-let-7d-3p	5.315368
hsa-miR-135b-5p	7.1893084
hsa-miR-297	4
hsa-miR-323a-3p	4
hsa-miR-324-3p	5.4165914
hsa-miR-326	5.1193542
hsa-miR-328	4.0861864
hsa-miR-331-3p	7.5886016
hsa-miR-338-3p	4.115959
hsa-miR-339-5p	5.6118554
hsa-miR-340-3p	4.399865
hsa-miR-342-3p	10.0730674
hsa-miR-335-5p	6.7813242
hsa-miR-7-1-3p	5.037491
hsa-miR-133b	4
hsa-miR-151a-3p	8.2745146
hsa-miR-196b-5p	7.9342772
hsa-miR-302b-3p	4.3027796
hsa-miR-302b-5p	4
hsa-miR-302c-3p	4.1577812
hsa-miR-302c-5p	4
hsa-miR-302d-3p	4
hsa-miR-325	4.0073306
hsa-miR-345-5p	4.8605446
hsa-miR-346	4.1723132
hsa-miR-367-3p	4
hsa-miR-376c-3p	4.3746308
hsa-miR-369-3p	4
hsa-miR-370	4
hsa-miR-371a-3p	4
hsa-miR-372	4.5073454
hsa-miR-373-3p	4
hsa-miR-373-5p	4
hsa-miR-374a-5p	9.0021164
hsa-miR-409-3p	4
hsa-miR-410	4
hsa-miR-412	4.3563468
hsa-miR-618	4
hsa-miR-521	4
hsa-miR-330-3p	5.916473
hsa-miR-424-5p	9.0025228
hsa-miR-129-2-3p	4.527058
hsa-miR-361-5p	6.0453338
hsa-miR-375	4
hsa-miR-377-3p	4.1857872
hsa-miR-378a-5p	5.372687
hsa-miR-379-5p	4
hsa-miR-483-5p	4
hsa-miR-380-5p	4
hsa-miR-381-3p	4
hsa-miR-382-5p	4
hsa-miR-383	4
hsa-miR-384	4.6602382
hsa-miR-425-3p	4.8055788
hsa-miR-30e-3p	5.5012256
hsa-miR-376a-3p	4
hsa-miR-362-5p	4.294799
hsa-miR-378a-3p	8.1988498
hsa-miR-380-3p	4
hsa-miR-422a	4.2117914
hsa-miR-423-3p	8.9955774
hsa-miR-18b-5p	9.7663644
hsa-miR-20b-5p	8.7550376
hsa-miR-329	4
hsa-miR-323b-5p	4.0012428
hsa-miR-409-5p	4
hsa-miR-376b-3p	4
hsa-miR-485-5p	4
hsa-miR-485-3p	4.2052228
hsa-miR-488-5p	4
