Entrez id	hsa-miR-1-3p	hsa-miR-30a-5p	hsa-miR-155-5p	hsa-miR-16-5p	hsa-let-7b-5p
55717	-0.05521797	-0.027447277	0.383669579	0.096992797	0.542454027
51586	-0.1372151	0.046001394	-0.436388763	-0.610262976	-0.466305137
5993	-0.2562809	-0.011673223	-0.346836382	0.699633759	-0.057808769
6183	-0.04356107	0.005580292	-0.468693446	0.306364148	-0.27447892
255027	-0.03788865	-0.053965106	-0.294254211	-0.425573224	-0.563239647
3077	-0.06549321	0.044353474	-0.221203494	0.583217051	0.036027842
64577	0.1943726	0.042274734	-0.290981777	-0.12224025	-0.152952214
340547	0.08913573	-0.137852843	0.030899437	-0.070787123	-0.118203913
7980	0.1494205	0.419350861	-0.995192553	-1.463619068	0.102497993
23646	-0.1047378	0.173604535	-0.915736442	-0.010373059	-0.613927446
55270	0.08510333	0.014161057	0.753217604	0.017469671	0.322239082
55621	0.1316659	0.039046268	-0.066357058	-0.231736589	-0.320242154
170679	0.03305056	0.033813798	-0.085981526	-0.221274666	-0.194152191
5368	0.01902443	0.130927239	0.098424768	0.094177781	-0.125827734
40	0.1324322	0.059367603	0.017838377	-0.050196506	-0.077948005
3101	0.02874885	-0.244713075	-0.143276117	-0.08437231	-0.195661833
3267	-0.001773271	-0.136635184	-0.054892066	0.226066601	-0.043717317
994	0.09840939	-0.040835807	0.129439059	-0.491389355	-0.517534509
63976	0.01745925	-0.052263044	0.071708344	0.128894939	-0.005446554
84065	0.08181327	0.063766026	-0.105260451	-0.351653947	-0.50709395
9586	-0.4791396	-0.52573162	-0.008852617	-0.764818914	0.578088754
56146	0.1785422	0.388525319	-1.26728833	-0.585869515	-0.661156881
140801	0.03948939	-0.090578199	0.312870572	0.28668893	0.318783552
406	-0.2625797	0.125261957	-0.817722692	0.126880354	0.313437436
3955	0.01868435	-0.019284665	0.401864132	-0.075702667	0.141219642
54927	0.2060991	-0.126887037	0.240523013	0.204045562	0.132299311
373863	0.1290163	0.011167319	0.285767369	0.149250793	-0.023792706
54940	-0.04629553	0.063840324	-0.055969622	0.052359423	0.14958145
56113	-0.05218337	-0.010453947	0.056072056	-0.00868029	-0.22673588
120071	-0.2352868	0.06833646	0.604252477	0.239107872	0.139937042
11024	0.08578872	0.115605438	0.070105199	0.02825302	-0.162007612
6545	0.1866949	0.03239353	-0.004852364	-0.006256213	-0.270420676
2029	0.1492323	0.060239134	-0.136969264	0.344559575	0.217945844
146853	-0.1267605	0.000619756	-0.138104161	0.187624673	-0.075882151
51321	0.2870682	-0.160979536	0.488814737	1.040767774	0.77918702
1392	-0.07910037	-0.235452607	-0.012037473	-0.085331579	-0.270296781
27125	0.09951604	0.025684018	-0.364244715	-0.070563024	0.098416573
10344	-0.3562178	-0.176996108	-0.314219442	-0.287679044	-0.089488842
56897	0.1539327	-0.09681246	0.032572739	0.246870551	0.114163053
80143	-0.1381276	0.07635718	0.434820058	-0.171329254	0.262357908
100526739	-0.4395707	0.033716859	0.640529079	0.26260894	0.434684095
79791	-0.1363144	-0.105979832	0.346519259	0.113022126	0.108505948
29935	-0.0517792	-0.108209095	0.253705519	-0.454990001	0.028712731
51760	0.3394283	-0.272463798	0.162975887	0.707414446	0.122076276
51466	0.09500535	0.180378485	0.480984238	0.382439074	0.265410754
22827	0.004976254	0.115004034	0.345855489	-0.180451995	-0.211041061
84667	-0.22674	-0.009374452	-0.431194261	0.264282625	-0.420154548
85465	0.002061707	-0.100319518	-0.247907054	-0.776047032	0.089249571
56548	-0.0316136	-0.078040642	-0.294589949	-0.002670174	-0.30536442
1174	-1.04619	-0.143055801	-0.576514395	0.87274624	-0.038238603
7764	0.02863214	-0.127330238	0.011316265	-0.318820504	0.079807439
92565	-0.0489912	0.180725052	0.360520072	0.091618385	-0.170036154
8857	0.1457366	0.18343634	0.000135687	-0.020263284	-0.072130339
43849	0.100919	-0.034288202	-0.222812419	-0.136061072	-0.144533119
4158	-0.00086032	-0.051404098	-0.08387539	-0.163473429	-0.222490709
9013	-0.2222585	0.083909807	-0.095514912	-0.542631822	-0.441921793
7571	0.05075292	-0.027738761	0.512580088	-0.380251712	0.676585186
360	0.4477513	-0.180939393	-0.740163206	0.005722532	-0.763534086
60491	0.2870766	-0.156051897	-0.002694599	0.222421605	0.21407749
10158	0.01907931	-0.123452748	0.03968925	-0.246690212	-0.255815583
4149	-0.1371048	0.138952833	-0.514580978	-0.088328396	-0.539133532
2232	-0.3573343	0.298009881	0.775164682	0.792999893	0.057968011
54816	-0.2282622	0.30665805	0.313529199	-0.204147392	0.201075852
7125	0.01769938	0.161678724	-0.283041865	-0.005122107	-0.441643763
8577	0.4789371	-0.193247891	-0.436829705	-0.46345523	0.472989909
518	0.2439354	0.01831213	0.058689102	0.034016072	0.140590405
2990	-0.04899161	-0.067022215	0.65729221	0.421282881	0.219535603
353497	-0.09930837	-0.176449911	0.412544343	-0.186487867	-0.23107172
441150	-0.1773321	0.456007792	-0.033294722	0.371681387	0.03532209
2948	0.01800996	-0.043030334	-1.155118781	0.167610487	-0.622457604
9421	-0.02131682	-0.332231709	-0.631577923	-0.24078284	-0.183884982
2762	0.2545419	0.049076328	0.537496971	0.591042236	0.260983951
2550	-0.2447522	-0.039569737	-0.097082789	-0.246216975	-0.231421954
1756	0.1183255	-0.067732106	-0.134298702	0.061394527	-0.208252046
9970	0.02216889	0.080018403	0.064568068	0.038666793	-0.061184516
222166	-0.02578239	0.039738594	-0.295783779	0.377842339	0.019858969
23769	0.3507621	-0.46476859	0.211087661	-0.240153509	-0.069773246
126003	0.2695092	0.1651666	-0.022227904	0.676627114	0.247258351
541578	0.2110257	-0.049693827	-0.3205081	-0.669116211	-0.036155871
50514	-0.2650917	0.070060659	-0.120002391	-0.194725266	-0.147275171
55344	-0.03360638	0.232980663	0.007518001	0.247242997	-0.373175366
1741	-0.2865126	0.022970084	-0.030925345	0.226612632	-0.100658493
79774	-0.1455327	0.40606727	0.219113819	0.863441338	0.442319057
11335	-0.1339008	-0.117901715	-0.385525695	-0.660384127	-0.013609292
149175	-0.01171134	0.29555731	0.698764857	0.359600643	-0.108878993
23312	-0.1300792	0.179018717	-0.07329766	-0.575752388	0.073078929
