Gene id	miRNA
7105	hsa-miR-1-3p
7105	hsa-miR-494-3p
7105	hsa-miR-132-3p
7105	hsa-miR-124-3p
8813	hsa-miR-15a-3p
8813	hsa-miR-576-5p
8813	hsa-miR-124-3p
8813	hsa-miR-494-3p
8813	hsa-miR-503-5p
55732	hsa-miR-330-3p
55732	hsa-miR-1-3p
3075	hsa-miR-1-3p
3075	hsa-miR-155-5p
2519	hsa-miR-16-1-3p
2519	hsa-miR-22-3p
2519	hsa-miR-494-3p
2729	hsa-miR-335-5p
2729	hsa-miR-425-5p
2729	hsa-miR-651-5p
2729	hsa-miR-942-5p
2729	hsa-miR-1-3p
2729	hsa-miR-155-5p
4800	hsa-miR-1-3p
4800	hsa-miR-155-5p
4800	hsa-miR-16-5p
81887	hsa-miR-1-3p
6405	hsa-miR-1-3p
6405	hsa-let-7b-5p
6405	hsa-miR-155-5p
6405	hsa-miR-16-5p
54467	hsa-miR-17-3p
54467	hsa-miR-20a-3p
54467	hsa-miR-1-3p
54467	hsa-miR-16-5p
1595	hsa-miR-101-3p
1595	hsa-miR-141-5p
1595	hsa-miR-197-3p
1595	hsa-miR-204-5p
1595	hsa-miR-23a-3p
1595	hsa-miR-23b-3p
1595	hsa-miR-26a-5p
1595	hsa-miR-26b-5p
1595	hsa-miR-30a-5p
1595	hsa-miR-30b-5p
1595	hsa-miR-30c-5p
1595	hsa-miR-30d-5p
1595	hsa-miR-30e-5p
1595	hsa-miR-342-3p
1595	hsa-miR-374b-3p
1595	hsa-miR-582-5p
1595	hsa-miR-133a-3p
889	hsa-miR-192-5p
889	hsa-miR-216a-5p
889	hsa-miR-362-3p
889	hsa-miR-1-3p
889	hsa-miR-16-5p
572	hsa-miR-1-3p
572	hsa-miR-603
51056	hsa-miR-494-3p
51056	hsa-miR-503-5p
51056	hsa-miR-155-5p
51056	hsa-miR-16-5p
4267	hsa-miR-503-5p
4267	hsa-let-7b-5p
4267	hsa-miR-155-5p
4267	hsa-miR-16-5p
3927	hsa-miR-106a-5p
3927	hsa-miR-125b-2-3p
3927	hsa-miR-182-5p
3927	hsa-miR-185-5p
3927	hsa-miR-570-3p
3927	hsa-miR-1-3p
3927	hsa-miR-133a-3p
29916	hsa-miR-494-3p
4074	hsa-miR-106b-5p
4074	hsa-miR-20a-5p
4074	hsa-miR-155-5p
90293	hsa-miR-1-3p
56603	hsa-miR-767-5p
57679	hsa-miR-1-3p
8837	hsa-miR-494-3p
8837	hsa-miR-155-5p
7035	hsa-miR-124-3p
7035	hsa-miR-155-5p
55471	hsa-miR-155-5p
6542	hsa-let-7a-3p
6542	hsa-let-7d-3p
6542	hsa-let-7f-1-3p
6542	hsa-let-7g-3p
6542	hsa-miR-101-3p
6542	hsa-miR-10a-3p
6542	hsa-miR-151a-5p
6542	hsa-miR-181a-5p
6542	hsa-miR-181c-5p
6542	hsa-miR-194-3p
6542	hsa-miR-20a-3p
6542	hsa-miR-217
6542	hsa-miR-22-3p
6542	hsa-miR-330-3p
6542	hsa-miR-340-5p
6542	hsa-miR-34a-5p
6542	hsa-miR-424-5p
6542	hsa-miR-449a
6542	hsa-miR-455-5p
6542	hsa-miR-497-5p
6542	hsa-miR-545-5p
6542	hsa-miR-582-5p
6542	hsa-miR-589-5p
6542	hsa-miR-629-5p
6542	hsa-miR-103a-3p
6542	hsa-miR-191-5p
6542	hsa-miR-16-5p
381	hsa-miR-1-3p
26073	hsa-miR-450a-5p
26073	hsa-miR-450b-5p
23129	hsa-let-7a-5p
23129	hsa-miR-181c-5p
23129	hsa-miR-185-5p
23129	hsa-miR-27a-3p
23129	hsa-miR-27b-3p
23129	hsa-miR-30b-3p
23129	hsa-miR-423-5p
23129	hsa-miR-1-3p
204	hsa-miR-124-3p
2288	hsa-miR-1-3p
2288	hsa-miR-155-5p
23028	hsa-miR-589-3p
10180	hsa-miR-181a-5p
10180	hsa-miR-181b-5p
10180	hsa-miR-181c-5p
10180	hsa-miR-181d-5p
10180	hsa-miR-30a-5p
10180	hsa-miR-30b-5p
10180	hsa-miR-30c-5p
10180	hsa-miR-30d-5p
10180	hsa-miR-30e-5p
10180	hsa-miR-33b-3p
10180	hsa-miR-550a-5p
