rank	mrna name	mirna name
1	ZNF117|51351	hsa-miR-23a-3p
2	ZNF117|51351	hsa-miR-23b-3p
3	ZNF107|51427	hsa-miR-23a-3p
4	ZNF780B|163131	hsa-miR-181a-5p
5	ZNF107|51427	hsa-miR-23b-3p
6	ZNF780B|163131	hsa-miR-181b-5p
7	ZNF780A|284323	hsa-miR-181a-5p
8	ZNF208|7757	hsa-miR-23a-3p
9	ZNF440|126070	hsa-miR-199a-5p
10	ZNF780A|284323	hsa-miR-181b-5p
11	ZNF208|7757	hsa-miR-23b-3p
12	ZNF91|7644	hsa-miR-23a-3p
13	ZNF844|284391	hsa-miR-199a-5p
14	ZNF780B|163131	hsa-miR-181c-5p
15	ZNF780B|163131	hsa-miR-181d-5p
16	ZNF776|284309	hsa-miR-199a-5p
17	ZNF440|126070	hsa-miR-199b-5p
18	COL1A1|1277	hsa-miR-29a-3p
19	ZNF117|51351	hsa-miR-130a-5p
20	ZNF91|7644	hsa-miR-23b-3p
21	ONECUT2|9480	hsa-miR-9-5p
22	ZNF844|284391	hsa-miR-199b-5p
23	ZNF844|284391	hsa-miR-181a-5p
24	ZNF544|27300	hsa-miR-199a-5p
25	ZNF776|284309	hsa-miR-199b-5p
26	ZNF700|90592	hsa-miR-199a-5p
27	ZNF594|84622	hsa-miR-181a-5p
28	COL1A1|1277	hsa-miR-29b-3p
29	HMGA2|8091	hsa-let-7a-5p
30	IGF2|3481	hsa-miR-210-3p
31	ZNF419|79744	hsa-miR-199a-5p
32	ZNF780A|284323	hsa-miR-181c-5p
33	ZNF107|51427	hsa-miR-130a-5p
34	COL1A1|1277	hsa-miR-29c-3p
35	ZNF780A|284323	hsa-miR-181d-5p
36	ZNF844|284391	hsa-miR-181b-5p
37	ZNF594|84622	hsa-miR-181b-5p
38	ZNF439|90594	hsa-miR-181a-5p
39	HMGA2|8091	hsa-let-7b-5p
40	HMGA2|8091	hsa-let-7c-5p
41	ZNF544|27300	hsa-miR-199b-5p
42	ZNF721|170960	hsa-miR-23a-3p
43	ZNF700|90592	hsa-miR-199b-5p
44	ZNF254|9534	hsa-miR-23a-3p
45	ZNF439|90594	hsa-miR-181b-5p
46	HMGA2|8091	hsa-let-7f-5p
47	ZNF439|90594	hsa-miR-199a-5p
48	HMGA2|8091	hsa-let-7e-5p
49	ZNF419|79744	hsa-miR-199b-5p
50	ZNF141|7700	hsa-miR-23a-3p
51	ZNF721|170960	hsa-miR-23b-3p
52	ZNF254|9534	hsa-miR-23b-3p
53	ZNF440|126070	hsa-miR-181a-5p
54	ZNF791|163049	hsa-miR-199a-5p
55	ZNF141|7700	hsa-miR-23b-3p
56	FGFRL1|53834	hsa-miR-210-3p
57	HMGA2|8091	hsa-let-7g-5p
58	ZNF208|7757	hsa-miR-130a-5p
59	ZNF439|90594	hsa-miR-199b-5p
60	ZNF788|388507	hsa-miR-181a-5p
61	ZNF594|84622	hsa-miR-188-3p
62	ZNF440|126070	hsa-miR-181b-5p
63	ZNF700|90592	hsa-miR-181a-5p
64	HMGA2|8091	hsa-let-7i-5p
65	ZNF844|284391	hsa-miR-181c-5p
66	ZNF844|284391	hsa-miR-181d-5p
67	TET3|200424	hsa-miR-29a-3p
68	ZNF195|7748	hsa-miR-23a-3p
69	ZNF594|84622	hsa-miR-181c-5p
70	HMGA2|8091	hsa-let-7d-5p
71	ZNF99|7652	hsa-miR-23a-3p
72	ZNF594|84622	hsa-miR-181d-5p
73	ZNF788|388507	hsa-miR-199a-5p
74	ZNF788|388507	hsa-miR-181b-5p
75	ATP6AP2|10159	hsa-miR-148a-3p
76	ZNF470|388566	hsa-miR-181a-5p
77	ZNF700|90592	hsa-miR-181b-5p
78	ZNF257|113835	hsa-miR-23a-3p
79	ZFP14|57677	hsa-miR-181a-5p
80	ZNF791|163049	hsa-miR-199b-5p
81	ZNF439|90594	hsa-miR-181c-5p
82	ZNF780B|163131	hsa-miR-188-3p
83	ZNF91|7644	hsa-miR-130a-5p
84	ZNF439|90594	hsa-miR-181d-5p
85	ZNF781|163115	hsa-miR-181a-5p
86	ZNF85|7639	hsa-miR-23a-3p
87	ZNF195|7748	hsa-miR-23b-3p
88	ZNF99|7652	hsa-miR-23b-3p
89	ZNF470|388566	hsa-miR-181b-5p
90	HOXA7|3204	hsa-miR-196b-5p
91	ZNF14|7561	hsa-miR-181a-5p
92	ZFP14|57677	hsa-miR-181b-5p
93	ZNF563|147837	hsa-miR-199a-5p
94	ZNF257|113835	hsa-miR-23b-3p
95	TET3|200424	hsa-miR-29b-3p
96	FGFRL1|53834	hsa-miR-103a-3p
97	ZNF788|388507	hsa-miR-199b-5p
98	HMGA2|8091	hsa-miR-98-5p
99	ZNF781|163115	hsa-miR-181b-5p
100	PPP2R2D|55844	hsa-miR-362-3p
101	ZNF225|7768	hsa-miR-23a-3p
102	ZNF83|55769	hsa-miR-199a-5p
103	ZNF772|400720	hsa-miR-199a-5p
104	COL3A1|1281	hsa-miR-29a-3p
105	ZNF85|7639	hsa-miR-23b-3p
106	TET3|200424	hsa-miR-29c-3p
107	ZNF14|7561	hsa-miR-181b-5p
108	ZNF100|163227	hsa-miR-23a-3p
109	ZNF208|7757	hsa-miR-135b-3p
110	ARID3B|10620	hsa-let-7a-5p
111	ZNF780A|284323	hsa-miR-188-3p
112	ZNF525|170958	hsa-miR-23a-3p
113	ZNF267|10308	hsa-miR-23a-3p
114	ZFP36L1|677	hsa-miR-182-5p
115	ZNF440|126070	hsa-miR-181c-5p
116	DST|667	hsa-miR-93-3p
117	MDM4|4194	hsa-miR-34a-5p
118	ZNF584|201514	hsa-miR-199a-5p
119	ARID3B|10620	hsa-let-7b-5p
120	RPL15|6138	hsa-miR-25-3p
121	RPL15|6138	hsa-miR-92a-3p
122	ZNF225|7768	hsa-miR-23b-3p
123	ZNF440|126070	hsa-miR-181d-5p
124	ZNF563|147837	hsa-miR-199b-5p
125	RPSAP58|388524	hsa-miR-103a-3p
126	ARL2|402	hsa-miR-16-5p
127	ZNF140|7699	hsa-miR-181a-5p
128	FLOT1|10211	hsa-miR-182-5p
129	ARL2|402	hsa-miR-15b-5p
130	ZNF681|148213	hsa-miR-23a-3p
131	CNPY2|10330	hsa-miR-30e-3p
132	TPT1|7178	hsa-miR-181a-2-3p
133	ZNF117|51351	hsa-miR-135b-3p
134	CTTN|2017	hsa-miR-182-5p
135	ZNF100|163227	hsa-miR-23b-3p
136	ARID3B|10620	hsa-let-7c-5p
137	DDIT4|54541	hsa-miR-22-3p
138	RPL31|6160	hsa-miR-23a-3p
139	BOK|666	hsa-miR-24-3p
140	ZNF267|10308	hsa-miR-23b-3p
141	GLRX5|51218	hsa-miR-148a-3p
142	COL1A2|1278	hsa-miR-29a-3p
143	COL3A1|1281	hsa-miR-29b-3p
144	ZNF788|388507	hsa-miR-181c-5p
145	LIN28B|389421	hsa-let-7a-5p
146	ZNF772|400720	hsa-miR-199b-5p
147	CNPY2|10330	hsa-miR-30a-3p
148	ZNF700|90592	hsa-miR-181c-5p
149	H3F3B|3021	hsa-miR-22-3p
150	ZNF525|170958	hsa-miR-23b-3p
151	ZNF83|55769	hsa-miR-199b-5p
152	ARL2|402	hsa-miR-15a-5p
153	ARL2|402	hsa-miR-424-5p
154	ZNF709|163051	hsa-miR-199a-5p
155	FSCN1|6624	hsa-miR-145-5p
156	MAP3K11|4296	hsa-miR-199a-5p
157	ZNF788|388507	hsa-miR-181d-5p
158	HOXA7|3204	hsa-miR-196a-5p
159	GIGYF1|64599	hsa-miR-361-3p
160	RPL14|9045	hsa-miR-16-5p
161	PVRL2|5819	hsa-miR-199a-5p
162	ZNF586|54807	hsa-miR-199a-5p
163	ARID3B|10620	hsa-let-7f-5p
164	ZNF700|90592	hsa-miR-181d-5p
165	ZNF420|147923	hsa-miR-181a-5p
166	BOK|666	hsa-miR-296-5p
167	RPL14|9045	hsa-miR-15b-5p
168	ENO1|2023	hsa-miR-22-3p
169	COMT|1312	hsa-miR-199a-5p
170	COL3A1|1281	hsa-miR-29c-3p
171	ARID3B|10620	hsa-let-7e-5p
172	ZNF430|80264	hsa-miR-23a-3p
173	ZNF140|7699	hsa-miR-181b-5p
174	TET1|80312	hsa-miR-29a-3p
175	C17orf58|284018	hsa-miR-22-3p
176	ZNF708|7562	hsa-miR-23a-3p
177	APLN|8862	hsa-miR-16-5p
178	ZNF28|7576	hsa-miR-23a-3p
179	DCAF6|55827	hsa-miR-92a-3p
180	TFRC|7037	hsa-miR-23a-3p
181	DCAF6|55827	hsa-miR-25-3p
182	BCAM|4059	hsa-miR-199a-5p
183	ZNF681|148213	hsa-miR-23b-3p
184	MTDH|92140	hsa-miR-30e-5p
185	ZNF256|10172	hsa-miR-199a-5p
186	ELN|2006	hsa-miR-29a-3p
187	TFRC|7037	hsa-miR-103a-3p
188	ZNF266|10781	hsa-miR-181a-5p
189	MTDH|92140	hsa-miR-30a-5p
190	PNRC2|55629	hsa-miR-23a-3p
191	ZNF470|388566	hsa-miR-181c-5p
192	NAA20|51126	hsa-miR-22-3p
193	SPATS2L|26010	hsa-miR-103a-3p
194	LIN28B|389421	hsa-let-7b-5p
195	RNF38|152006	hsa-miR-103a-3p
196	ZNF584|201514	hsa-miR-199b-5p
197	HSPB8|26353	hsa-miR-126-5p
198	TRIAP1|51499	hsa-miR-103a-3p
199	ZNF470|388566	hsa-miR-181d-5p
200	APLN|8862	hsa-miR-15b-5p
201	ZNF468|90333	hsa-miR-199a-5p
202	RPL31|6160	hsa-miR-23b-3p
203	ZNF195|7748	hsa-miR-199a-5p
204	HIST2H2AA3|8337	hsa-miR-1247-5p
205	CST3|1471	hsa-miR-103a-3p
206	CCT6A|908	hsa-miR-148a-3p
207	ZFP14|57677	hsa-miR-181c-5p
208	LIN28B|389421	hsa-let-7c-5p
209	ZNF460|10794	hsa-miR-3613-3p
210	ARL8B|55207	hsa-miR-148a-3p
211	BZW1|9689	hsa-let-7a-5p
212	RPL14|9045	hsa-miR-15a-5p
213	ZNF420|147923	hsa-miR-181b-5p
214	TMEM167B|56900	hsa-miR-28-3p
215	TAX1BP3|30851	hsa-miR-338-3p
216	ARIH2|10425	hsa-miR-103a-3p
217	RPL34|6164	hsa-miR-103a-3p
218	ZNF43|7594	hsa-miR-23a-3p
219	NCALD|83988	hsa-miR-182-5p
220	ITM2B|9445	hsa-miR-143-3p
221	FN3K|64122	hsa-miR-483-5p
222	FTL|2512	hsa-miR-22-3p
