rank	mrna name	mirna name
1	ZNF117|51351	hsa-miR-23a-3p
2	ZNF117|51351	hsa-miR-23b-3p
3	ZNF208|7757	hsa-miR-23a-3p
4	ZNF780B|163131	hsa-miR-181a-5p
5	ZNF780B|163131	hsa-miR-181b-5p
6	ZNF107|51427	hsa-miR-23a-3p
7	ZNF780A|284323	hsa-miR-181a-5p
8	ZNF208|7757	hsa-miR-23b-3p
9	ZNF91|7644	hsa-miR-23a-3p
10	ZNF780A|284323	hsa-miR-181b-5p
11	ZNF107|51427	hsa-miR-23b-3p
12	ZNF91|7644	hsa-miR-23b-3p
13	ZNF780B|163131	hsa-miR-181d-5p
14	ZNF594|84622	hsa-miR-181a-5p
15	ZNF440|126070	hsa-miR-199a-5p
16	ZNF780B|163131	hsa-miR-181c-5p
17	COL1A1|1277	hsa-miR-29a-3p
18	ZNF844|284391	hsa-miR-181a-5p
19	ZNF117|51351	hsa-miR-130a-5p
20	ZNF594|84622	hsa-miR-181b-5p
21	ZNF844|284391	hsa-miR-181b-5p
22	ZNF776|284309	hsa-miR-199a-5p
23	ZNF721|170960	hsa-miR-23a-3p
24	ZNF780A|284323	hsa-miR-181d-5p
25	ZNF844|284391	hsa-miR-199a-5p
26	ZNF780A|284323	hsa-miR-181c-5p
27	ZNF254|9534	hsa-miR-23a-3p
28	COL1A1|1277	hsa-miR-29c-3p
29	ZNF439|90594	hsa-miR-181a-5p
30	ZNF440|126070	hsa-miR-199b-5p
31	ZNF141|7700	hsa-miR-23a-3p
32	COL1A1|1277	hsa-miR-29b-3p
33	ZNF440|126070	hsa-miR-181a-5p
34	ZNF788|388507	hsa-miR-181a-5p
35	BOK|666	hsa-miR-296-5p
36	ZNF419|79744	hsa-miR-199a-5p
37	ZNF439|90594	hsa-miR-181b-5p
38	ZNF544|27300	hsa-miR-199a-5p
39	ZNF721|170960	hsa-miR-23b-3p
40	ZNF440|126070	hsa-miR-181b-5p
41	ZNF788|388507	hsa-miR-181b-5p
42	FGFRL1|53834	hsa-miR-210-3p
43	ZNF208|7757	hsa-miR-130a-5p
44	ZNF776|284309	hsa-miR-199b-5p
45	ZNF470|388566	hsa-miR-181a-5p
46	ZNF254|9534	hsa-miR-23b-3p
47	ZNF844|284391	hsa-miR-199b-5p
48	TET3|200424	hsa-miR-29a-3p
49	ZNF141|7700	hsa-miR-23b-3p
50	ZNF195|7748	hsa-miR-23a-3p
51	ZNF700|90592	hsa-miR-199a-5p
52	ONECUT2|9480	hsa-miR-9-5p
53	ATP6AP2|10159	hsa-miR-148a-3p
54	ZNF700|90592	hsa-miR-181a-5p
55	ZFP14|57677	hsa-miR-181a-5p
56	ZNF470|388566	hsa-miR-181b-5p
57	ZNF225|7768	hsa-miR-23a-3p
58	MDM4|4194	hsa-miR-34a-5p
59	ZNF594|84622	hsa-miR-181d-5p
60	ZNF419|79744	hsa-miR-199b-5p
61	ZNF544|27300	hsa-miR-199b-5p
62	ZNF676|163223	hsa-miR-23a-3p
63	ARL2|402	hsa-miR-15b-5p
64	ZNF594|84622	hsa-miR-181c-5p
65	FGFRL1|53834	hsa-miR-103a-3p
66	FIGN|55137	hsa-let-7a-5p
67	ZNF700|90592	hsa-miR-181b-5p
68	ZNF85|7639	hsa-miR-23a-3p
69	ZNF107|51427	hsa-miR-130a-5p
70	ZNF844|284391	hsa-miR-181d-5p
71	RPL31|6160	hsa-miR-23a-3p
72	ZNF14|7561	hsa-miR-181a-5p
73	ZFP14|57677	hsa-miR-181b-5p
74	AP1S2|8905	hsa-miR-211-5p
75	ZNF791|163049	hsa-miR-199a-5p
76	RPL15|6138	hsa-miR-92a-3p
77	ARL2|402	hsa-miR-16-5p
78	ZNF844|284391	hsa-miR-181c-5p
79	TET3|200424	hsa-miR-29c-3p
80	GIGYF1|64599	hsa-miR-361-3p
81	ZNF195|7748	hsa-miR-23b-3p
82	TPT1|7178	hsa-miR-181a-2-3p
83	IGF2|3481	hsa-miR-210-3p
84	TET3|200424	hsa-miR-29b-3p
85	BOK|666	hsa-miR-24-3p
86	FIGN|55137	hsa-let-7f-5p
87	CNPY2|10330	hsa-miR-30e-3p
88	FIGN|55137	hsa-let-7b-5p
89	CNPY2|10330	hsa-miR-30a-3p
90	RPL15|6138	hsa-miR-25-3p
91	TRIB2|28951	hsa-miR-29a-3p
92	ZNF594|84622	hsa-miR-188-3p
93	ZNF439|90594	hsa-miR-199a-5p
94	ZNF525|170958	hsa-miR-23a-3p
95	ARL2|402	hsa-miR-15a-5p
96	ZNF788|388507	hsa-miR-199a-5p
97	RPSAP58|388524	hsa-miR-103a-3p
98	ZNF700|90592	hsa-miR-199b-5p
99	RPL14|9045	hsa-miR-15b-5p
100	ZNF14|7561	hsa-miR-181b-5p
101	ZNF225|7768	hsa-miR-23b-3p
102	TAX1BP3|30851	hsa-miR-338-3p
103	ZNF267|10308	hsa-miR-23a-3p
104	TPT1|7178	hsa-miR-211-5p
105	ZNF140|7699	hsa-miR-181a-5p
106	ZNF91|7644	hsa-miR-130a-5p
107	ENO1|2023	hsa-miR-22-3p
108	RPL14|9045	hsa-miR-16-5p
109	ARID3B|10620	hsa-let-7a-5p
110	FIGN|55137	hsa-let-7c-5p
111	H3F3B|3021	hsa-miR-22-3p
112	ZNF100|163227	hsa-miR-23a-3p
113	GLRX5|51218	hsa-miR-148a-3p
114	PIP4K2A|5305	hsa-miR-30d-5p
115	GIPC3|126326	hsa-miR-185-3p
116	MTDH|92140	hsa-miR-30d-5p
117	PNRC2|55629	hsa-miR-23a-3p
118	MBOAT7|79143	hsa-miR-23a-3p
119	COL1A2|1278	hsa-miR-29a-3p
120	ZNF266|10781	hsa-miR-181a-5p
121	COL3A1|1281	hsa-miR-29a-3p
122	MITF|4286	hsa-miR-148a-3p
123	ZNF676|163223	hsa-miR-23b-3p
124	NAA20|51126	hsa-miR-22-3p
125	VIM|7431	hsa-miR-30d-5p
126	ZNF85|7639	hsa-miR-23b-3p
127	C20orf27|54976	hsa-miR-423-5p
128	ZNF439|90594	hsa-miR-181d-5p
129	EIF4EBP3|8637	hsa-miR-22-3p
130	C17orf58|284018	hsa-miR-22-3p
131	QARS|5859	hsa-let-7a-5p
132	ZNF788|388507	hsa-miR-23a-3p
133	CST3|1471	hsa-miR-103a-3p
134	FIGN|55137	hsa-let-7e-5p
135	ZNF439|90594	hsa-miR-181c-5p
136	DCAF6|55827	hsa-miR-92a-3p
137	FTL|2512	hsa-miR-22-3p
138	RPL31|6160	hsa-miR-23b-3p
139	ARID3B|10620	hsa-let-7b-5p
140	ZNF772|400720	hsa-miR-199a-5p
141	ZIK1|284307	hsa-miR-199a-5p
142	RPL34|6164	hsa-miR-103a-3p
143	ZNF420|147923	hsa-miR-181a-5p
144	ZNF440|126070	hsa-miR-181d-5p
145	RNF38|152006	hsa-miR-103a-3p
146	ARID3B|10620	hsa-let-7f-5p
147	SSR2|6746	hsa-miR-30c-2-3p
148	ENSA|2029	hsa-miR-532-3p
149	ZNF140|7699	hsa-miR-181b-5p
150	BZW1|9689	hsa-let-7a-5p
151	ZNF90|7643	hsa-miR-23a-3p
152	ZNF788|388507	hsa-miR-181d-5p
153	PPP2R2D|55844	hsa-miR-362-3p
154	TMEM167B|56900	hsa-miR-28-3p
155	ZDHHC16|84287	hsa-miR-22-3p
156	ZNF440|126070	hsa-miR-181c-5p
157	ZNF791|163049	hsa-miR-199b-5p
158	ANKRA2|57763	hsa-miR-30d-5p
159	RPL14|9045	hsa-miR-15a-5p
160	CDC34|997	hsa-let-7a-5p
161	RPN2|6185	hsa-miR-378a-3p
162	ZNF708|7562	hsa-miR-23a-3p
163	SEC14L1|6397	hsa-miR-129-1-3p
164	EVC|2121	hsa-miR-423-5p
165	PIP4K2A|5305	hsa-miR-30a-5p
166	ZNF563|147837	hsa-miR-199a-5p
167	TRIB2|28951	hsa-miR-29c-3p
168	QARS|5859	hsa-let-7b-5p
169	SCAF1|58506	hsa-miR-423-5p
170	ZNF788|388507	hsa-miR-181c-5p
171	ZNF780B|163131	hsa-miR-188-3p
172	SEC14L1|6397	hsa-miR-129-2-3p
173	DDIT4|54541	hsa-miR-22-3p
174	YWHAZ|7534	hsa-miR-22-3p
175	ZNF616|90317	hsa-miR-23a-3p
176	FIGN|55137	hsa-let-7g-5p
177	MTDH|92140	hsa-miR-30a-5p
178	DCAF6|55827	hsa-miR-25-3p
179	SPARC|6678	hsa-miR-29a-3p
180	TET2|54790	hsa-miR-29a-3p
181	ZNF28|7576	hsa-miR-23a-3p
182	TFRC|7037	hsa-miR-23a-3p
183	ARIH2|10425	hsa-miR-103a-3p
184	YARS|8565	hsa-miR-22-3p
185	NRSN2|80023	hsa-miR-423-5p
186	CCT6A|908	hsa-miR-148a-3p
187	ZNF266|10781	hsa-miR-181b-5p
188	NPEPL1|79716	hsa-miR-148a-3p
189	ATP6AP2|10159	hsa-miR-148b-3p
190	ZNF525|170958	hsa-miR-23b-3p
191	VIM|7431	hsa-miR-30a-5p
192	EIF4E2|9470	hsa-miR-29a-3p
193	QARS|5859	hsa-let-7f-5p
194	ATP6AP2|10159	hsa-miR-152-3p
195	TUFM|7284	hsa-miR-22-3p
196	ARL8B|55207	hsa-miR-148a-3p
197	FIGN|55137	hsa-let-7d-5p
198	SLC35B2|347734	hsa-miR-29a-3p
199	SOX12|6666	hsa-miR-423-5p
200	TRIAP1|51499	hsa-miR-103a-3p
201	ZNF559|84527	hsa-miR-181a-5p
202	FIGN|55137	hsa-let-7i-5p
203	ZNF430|80264	hsa-miR-23a-3p
204	MAP3K11|4296	hsa-miR-199a-5p
205	SNN|8303	hsa-miR-148a-3p
206	MPDU1|9526	hsa-miR-24-3p
207	HBP1|26959	hsa-miR-29a-3p
208	CYTH3|9265	hsa-miR-22-3p
209	NPTN|27020	hsa-miR-148a-3p
210	FSCN1|6624	hsa-miR-145-5p
211	PPIF|10105	hsa-miR-23a-3p
212	FLOT1|10211	hsa-miR-182-5p
213	C5orf51|285636	hsa-let-7a-5p
214	PPP2R2D|55844	hsa-miR-1275
215	ARID3B|10620	hsa-let-7c-5p
216	ZNF267|10308	hsa-miR-23b-3p
217	CTTN|2017	hsa-miR-182-5p
218	TRIB2|28951	hsa-miR-29b-3p
219	PQLC1|80148	hsa-miR-151a-5p
220	GNG5|2787	hsa-let-7a-5p
221	BZW1|9689	hsa-let-7f-5p
222	PDCD2L|84306	hsa-miR-30d-5p
223	RPS3|6188	hsa-miR-22-3p
