EntrezID	hsa-let-7b-5p	hsa-let-7c-5p	hsa-miR-1-3p	hsa-miR-101-3p	hsa-miR-103a-3p	hsa-miR-106b-5p	hsa-miR-141-3p	hsa-miR-155-5p	hsa-miR-15a-5p	hsa-miR-16-5p	hsa-miR-17-5p	hsa-miR-18a-5p	hsa-miR-192-5p	hsa-miR-193b-3p	hsa-miR-200a-3p	hsa-miR-200c-3p	hsa-miR-206	hsa-miR-20a-5p	hsa-miR-215-5p	hsa-miR-26b-5p	hsa-miR-302c-3p	hsa-miR-30a-5p	hsa-miR-98-5p
1	8.88E-16	0.00485	8.88E-16	-4.44E-16	0.0135	0.00925	0.02835	8.88E-16	0.03705	3.20E-02	0.0153	0.066162411	0.04855	0.070628351	0.00955	NA	0.118656834	0.02375	0.0325	NA	0.090881791	8.88E-16	NA
2	-1.124270435	-0.272	-0.263509836	-0.048850618	0.00405	0.0088	0.0011	-0.782022351	0.0354	-1.75E-01	0.05015	0.008868459	0.09535	0.015644734	0.00345	-0.011029314	0.042972602	0.01155	0.0287	NA	-0.041877736	-0.263509836	-0.286440918
9	0.347604364	0.0015	-0.048570198	-0.163083085	0.02615	-0.045631914	0.03725	-0.058120003	0.03895	2.57E-01	0.02325	0.002581538	-0.0238	0.004113951	0.05325	0.391269081	-0.048500896	0.00625	0.0187	0.782469041	-0.022904422	0.122785841	0.037256243
10	8.88E-16	0.0218	8.88E-16	0	-0.01875	-0.000425	-0.0098	8.88E-16	0.0083	1.61E-02	0.0584	0.039417076	0.04965	0.0339603	0.02425	NA	-0.016728189	0.01875	0.05505	0	0.052374671	8.88E-16	0
12	8.88E-16	0.0074	8.88E-16	-0.066670767	0.01155	0.02365	-0.0071	8.88E-16	0.0264	2.55E-03	0.02395	-0.316585075	0.0472	-0.08508443	-0.0008	5.02502086	-0.13588559	0	0.0156	NA	-0.704658285	8.88E-16	0.007984849
13	8.88E-16	0.06705	8.88E-16	0	0.0388	-0.0852	-0.0619	8.88E-16	-0.0185	-2.43E-02	0.0015	-0.077775784	-0.02095	-0.03997879	-0.0149	NA	0.094356085	-0.041	0.11175	NA	-0.083135789	8.88E-16	NA
14	-0.511887491	0.0031	0.114158092	-0.450829231	0.00555	0.05705	0.0032	-0.438738483	0.06045	-8.40E-02	0.069	-0.088162665	0.03025	0.05982327	-0.0059	0.36485885	-0.21407393	-0.0058	0.03995	NA	0.08760332	0.029271846	0.026704188
15	8.88E-16	0.0188	8.88E-16	0	0.00335	-0.00125	0.00025	8.88E-16	0.01335	1.29E-02	0.05025	-0.061423945	0.0453	-0.043172225	-0.00445	NA	-0.005735064	0.05195	0.0492	0	-0.06432025	8.88E-16	0
16	0.096251282	-0.0125	0.049178547	-0.158714872	0.01915	0.182098276	0.0557	0.05277163	0.0413	5.91E-02	0.1256	0.057803765	0.1704	0.070420985	0.0498	-0.671020048	0.05907091	0.10055	0.04255	-0.399946446	0.030997715	-0.07881064	0.093105472
18	8.88E-16	NA	8.88E-16	0.002966488	NA	0.139240997	NA	8.88E-16	NA	8.88E-16	NA	-0.326621102	NA	0.119459327	NA	1.523190257	0.004255758	NA	NA	0	-0.108485408	8.88E-16	-0.015742043
19	-0.228246519	0.0502	0.857627235	0	0.00295	-0.0016	-0.00065	0.151783534	0.00255	-4.41E-01	0.03305	-0.111691615	0.0364	0.160368583	0.0021	-1.338018324	-0.035089402	0.0232	0.04455	0	-0.101734247	-1.024344434	-0.076917295
20	-0.516889303	0.0344	-0.343591183	0.001133679	0.0217	-0.07915	-0.00345	-0.408892225	0.10855	-1.61E-01	0.02405	-0.058424468	-0.0128	0.013988754	0.0335	1.215365568	-0.115972346	-0.0098	-0.0012	NA	7.82E-05	-0.134429383	0.084741231
21	-0.334097446	0.0724	0.19628901	-0.073986181	0.0352	-0.007807597	0.0981	-0.334097446	0.3675	-2.07E-02	0.0706	-0.149008211	0.03255	-0.056947268	0.1298	1.799067799	-0.426960689	0.07385	0.09425	0	0.041608318	-0.334097446	0.069702223
22	0.104738219	-0.00265	0.107270345	0.139158549	-0.01505	-0.020111927	0.00335	0.274204871	-0.02875	-1.03E-01	0.02185	-0.149460832	0.0286	0.049048916	0.0005	-1.41805195	-0.257343995	0.0567	0.02405	-0.224360179	-0.483777326	0.14066457	-0.350043003
23	NA	-0.0438	NA	NA	-0.25515	0.09675	0.0241	NA	-0.2783	-2.26E-01	0.0723	0.111152555	0.105	0.198569585	0.0213	0.290796146	0.19832994	0.008	0.06475	NA	0.3651839	NA	0.287955628
24	8.88E-16	NA	8.88E-16	0	NA	4.44089E-16	NA	8.88E-16	NA	8.88E-16	NA	0.02621442	NA	0.067604937	NA	-0.111195033	-0.034519781	NA	NA	0	0.025645315	8.88E-16	0.012119567
25	-0.91966512	0.00425	0.166833413	-0.108222753	0.0415	-0.144392445	0.02485	-1.814806306	0.00625	-2.59E-01	0.0554	-0.1092689	0.03945	0.007691793	0.0146	-1.296152163	0.043420901	0.04555	0.02265	0.10626107	0.114500278	-0.083269725	-0.260777697
26	8.88E-16	-0.02015	8.88E-16	0	-0.0045	-0.012075	-0.02235	8.88E-16	0.0328	-2.08E-02	0.02275	0.003459967	0.0493	0.006338624	-0.01935	NA	0.047990443	0.03385	0.0136	0	0.017635754	8.88E-16	0
27	0.08730836	0.0652	0.22118774	-0.174452137	0.0085	0.00455	-0.00405	-0.252213689	-0.0177	-2.66E-01	-0.01265	-0.051241568	-0.0468	-0.083537408	-0.0309	-0.634723316	-0.0264849	-0.0139	-0.0123	-0.086793368	-0.031395467	-0.234800679	-0.063727015
28	-0.005012247	0.01895	0.597728021	-0.101973439	-0.1109	-0.0031	-0.04405	-0.005012247	-0.06165	-5.35E-02	-0.01625	-0.077937973	-0.05695	-0.020744917	-0.0451	NA	-0.033730291	-0.00655	-0.01165	NA	0.026918821	-0.005012247	NA
29	-0.858195404	-0.0973	-0.323561172	0.001930366	-0.14235	-0.07735	0.1101	-0.793011133	0.05475	-2.17E-01	-0.07955	-0.033003979	0.07585	-0.098734893	0.11275	0.256756468	0.037698194	-0.06155	0.05985	NA	0.076520017	-0.156507419	0.078926695
30	0.030205536	-0.00495	0.048710133	0.078584884	0.01145	0.01845	0.03545	0.359150206	0.15365	4.54E-01	0.0753	0.22831686	0.06045	0.29748566	0.0367	0.897449986	0.07604751	0.09705	-0.03235	NA	0.021502185	-0.050358444	0.150914482
31	0.005565668	NA	0.144584632	-0.068481992	NA	NA	NA	0.20082202	NA	6.43E-01	NA	0.03089993	NA	0.20128471	NA	-0.013677794	0.091661298	NA	NA	NA	0.197846115	0.057217939	-0.022360831
32	0.529030493	NA	-0.352626219	-0.040149473	NA	NA	NA	0.989710596	NA	3.89E-01	NA	0.241835638	NA	0.057680887	NA	0.076177253	0.20782441	NA	NA	NA	0.003509794	0.145940828	0.059073838
33	0.375510653	NA	-0.354981579	-0.001031611	NA	4.44089E-16	NA	-0.444418371	NA	-4.30E-01	NA	-0.049548099	NA	-0.03418649	NA	NA	-0.045262243	NA	NA	0	-0.049835198	1.855589196	0
34	0.32157072	0.01125	0.158827815	0.303228051	-0.0666	0.045357922	-0.03935	0.149037594	-0.05635	-3.22E-01	-0.33055	-0.114524382	-0.14645	0.041353375	-0.00305	-1.568829422	-0.190918075	-0.1031	-0.146	-1.235956826	-0.198813868	0.138975517	-0.162747602
35	-0.009058593	0.04725	8.88E-16	0.201196568	-0.0346	-0.005277196	-0.0267	8.88E-16	0.07975	1.98E-01	0.0704	-0.01101942	-0.02415	-0.005720736	-0.03225	-0.251919889	-0.056255362	0.04825	-0.02765	-0.07146174	0.004450333	8.88E-16	0.178370428
36	0.330526624	0.0262	-0.120686661	-0.068805058	-0.00465	-0.14365	-0.0004	-0.014595239	0.01925	-6.69E-02	-0.0273	-0.067098492	-0.24945	0.013717891	0.04245	NA	-0.018047923	-0.16615	-0.2749	NA	-0.220360162	-0.112987009	NA
37	-0.499328579	-0.00905	0.163834813	-0.25633094	0.0047	-0.032154678	0.00845	-0.110836819	0.0256	-1.73E-01	0.027	0.222100475	0.09905	0.10960494	0.0391	0.800568355	-0.11780344	-0.0411	-0.00895	0.499414021	0.23460897	0.024516463	0.41984359
38	-0.003222296	-0.0146	0.067687011	-0.066845061	0.0386	0.033393857	0.0336	-0.016332564	0.0324	3.86E-02	-0.07565	0.017437215	-0.0223	0.08237107	0.0288	-1.350527871	0.19208535	-0.03285	-0.08775	0.027824408	-0.375770495	0.117440132	0.069411094
39	0.631157213	0.00675	-0.125296643	-0.200001862	0.0126	0.015731013	-0.02175	-0.55058633	-0.00455	6.81E-01	0.07535	-0.09521673	-0.1584	-0.062010805	0.0021	-0.497759977	-0.1450047	0.10505	-0.16775	0.018989641	-0.07255255	0.506888228	0.198469362
40	8.88E-16	-0.03225	0.003848325	-3.81E-05	-0.0106	0.002475	-0.00465	8.88E-16	0.0094	-1.85E-03	0.0081	-0.03782745	-0.0062	0.022699277	-0.0122	NA	-0.020274074	0.012	-0.01465	0.000001994	-0.020907484	8.88E-16	0
41	-0.129128757	-0.10625	-0.050786307	-0.051266115	0.1441	0.038784443	0.1988	0.054401181	0.3328	3.01E-01	0.2596	-0.035460552	0.06695	0.007286657	0.167	-0.198684372	0.050305402	0.1505	0.03995	0.543177867	-0.123869839	0.318130008	-0.046790736
43	-0.046661169	0.0105	0.063258217	-0.073903199	-0.0087	-0.003625	0.0156	-0.046661169	-0.00045	-2.67E-02	0.0678	0.03470672	0.0521	0.025459422	-0.0281	NA	0.001144221	0.05935	0.0465	-0.001060722	0.078865838	-0.046661169	4.44089E-16
47	-0.452430828	-0.08645	-0.123720622	-0.649341822	0.0217	0.320442014	-0.02845	-1.402740357	0.05245	2.18E-01	0.03215	-0.145469085	0.009	0.00791095	0.00385	-1.234025739	-0.03884808	0.0008	-0.0494	-0.354286995	-0.11021706	0.24432915	-0.310080829
48	-0.744452391	0.0317	0.368867988	0.011610472	0.01	0.066772665	-0.1025	-0.637451214	-0.0082	-7.11E-02	0.0341	0.091735592	-0.06505	0.200347	-0.10825	-1.536119256	-0.054548157	0.054	-0.0602	-0.152132938	-0.121494341	0.251983283	-0.32628357
49	NA	-0.0095	NA	NA	0.0195	0.013925	-0.00645	NA	0.01615	2.35E-02	0.0134	0.016190527	0.0287	2.47E-07	-0.0087	-0.109050981	0.008039753	0.0482	0.01145	0	-0.006350453	NA	-0.002204688
50	0.082964717	-0.0064	0.282499577	-0.15764424	0.0031	-0.013893527	0.0137	-0.060916088	0.0254	2.97E-01	0.05515	0.117247675	0.08395	0.180391018	0.025	0.684308613	-0.088724677	0.025	0.03495	-0.189950565	0.220049064	-0.021300986	0.363797199
51	0.221019717	0.03285	0.007944445	-0.060968014	-0.0524	0.045341704	-0.11045	0.061920222	-0.0366	1.51E-01	0.0075	0.086690891	-0.08565	0.073926318	-0.0842	NA	-0.067690489	-0.01935	-0.07495	-0.325936668	-0.071834115	-0.041665318	-0.134419281
52	0.002746138	-0.0779	0.034118611	-0.100533807	0.12285	0.157287286	0.07495	-0.619359857	0.0197	5.22E-02	0.00075	-0.31325729	-0.12375	-0.130006975	0.0307	0.114657985	-0.10507357	0.0275	-0.12315	-0.069408359	-0.074986655	0.233866079	-0.290314705
53	-0.031189573	0.0558	0.122070889	-0.215277528	-0.07595	0.086251265	-0.01255	0.099130652	-0.33975	-4.06E-01	-0.1163	0.217656862	-0.03445	0.101353617	-0.05675	-0.478036418	-0.035695662	-0.0248	-0.00805	0.185132423	0.156758683	-0.200737006	0.449260545
54	8.88E-16	0.01535	0.089456135	0	0.02995	0.009375	0.02165	8.88E-16	-0.00785	1.50E-02	0.00145	0.010864623	0.0511	-0.015351279	-0.03305	NA	-0.006045166	0.01995	-0.00075	0	-0.007098616	8.88E-16	0
55	8.88E-16	-0.03	8.88E-16	-0.053602723	0.01085	0.00205	-0.02835	8.88E-16	0.0949	5.50E-02	0.0083	0.020179626	-0.00375	-0.05922093	0.05655	NA	0.177898477	0.05245	-0.02105	NA	0.171793769	8.88E-16	NA
